# matchedfilter tuning table
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  448361c
# fdr     20000 injected trials/cell (~11600 detections); <~3e-4 unresolved
# cost    4000 pure-noise trials/cell at the search threshold
#
# Measured by running the real filter. FDR counts the peaks the ungated
# filter reports that the gated one does not, so it needs injections. COST
# is set by how often the gate opens on NOISE, so it must not have them --
# timing on the injected harness made every band read 9-13 us/pair where
# the real separation is 12.7 against 1.8.
#
# The two go stale for different reasons: FDR on a change to the gate or
# the interpolation, COST on a change to the kernel or the machine.
# Regenerate with tools/hmf_tune.py.
#
# SCOPE: n=4096, decision window = the full transform, U=2.
#
# both: n band U K snr f beff  then dismissal (FDR) or us_per_pair (COST)
FDR 4096 256 2 4 5.00 0.8000 5.2 2.8243e-04
FDR 4096 256 2 4 5.00 0.8000 25.6 1.5521e-04
FDR 4096 256 2 4 5.00 0.8000 76.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.8000 153.1 0.0000e+00
FDR 4096 256 2 4 5.00 0.8000 231.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9000 5.2 6.9435e-04
FDR 4096 256 2 4 5.00 0.9000 25.6 2.2686e-04
FDR 4096 256 2 4 5.00 0.9000 76.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9000 153.1 0.0000e+00
FDR 4096 256 2 4 5.00 0.9000 231.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9500 5.2 1.9097e-03
FDR 4096 256 2 4 5.00 0.9500 25.6 3.0289e-04
FDR 4096 256 2 4 5.00 0.9500 76.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9500 153.1 0.0000e+00
FDR 4096 256 2 4 5.00 0.9500 231.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9900 5.2 2.3884e-02
FDR 4096 256 2 4 5.00 0.9900 25.6 6.3221e-04
FDR 4096 256 2 4 5.00 0.9900 76.4 0.0000e+00
FDR 4096 256 2 4 5.00 0.9900 153.1 0.0000e+00
FDR 4096 256 2 4 5.00 0.9900 231.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.8000 5.2 3.0017e-04
FDR 4096 256 2 4 5.50 0.8000 25.6 3.2666e-04
FDR 4096 256 2 4 5.50 0.8000 76.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.8000 153.1 0.0000e+00
FDR 4096 256 2 4 5.50 0.8000 231.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9000 5.2 6.5260e-04
FDR 4096 256 2 4 5.50 0.9000 25.6 2.3590e-04
FDR 4096 256 2 4 5.50 0.9000 76.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9000 153.1 0.0000e+00
FDR 4096 256 2 4 5.50 0.9000 231.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9500 5.2 1.6791e-03
FDR 4096 256 2 4 5.50 0.9500 25.6 3.9026e-04
FDR 4096 256 2 4 5.50 0.9500 76.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9500 153.1 0.0000e+00
FDR 4096 256 2 4 5.50 0.9500 231.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9900 5.2 2.1568e-02
FDR 4096 256 2 4 5.50 0.9900 25.6 5.6579e-04
FDR 4096 256 2 4 5.50 0.9900 76.4 0.0000e+00
FDR 4096 256 2 4 5.50 0.9900 153.1 0.0000e+00
FDR 4096 256 2 4 5.50 0.9900 231.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.8000 5.2 4.7630e-04
FDR 4096 256 2 4 6.00 0.8000 25.6 3.4028e-04
FDR 4096 256 2 4 6.00 0.8000 76.4 8.8778e-05
FDR 4096 256 2 4 6.00 0.8000 153.1 0.0000e+00
FDR 4096 256 2 4 6.00 0.8000 231.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9000 5.2 5.2762e-04
FDR 4096 256 2 4 6.00 0.9000 25.6 1.6244e-04
FDR 4096 256 2 4 6.00 0.9000 76.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9000 153.1 0.0000e+00
FDR 4096 256 2 4 6.00 0.9000 231.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9500 5.2 1.4989e-03
FDR 4096 256 2 4 6.00 0.9500 25.6 4.8100e-04
FDR 4096 256 2 4 6.00 0.9500 76.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9500 153.1 0.0000e+00
FDR 4096 256 2 4 6.00 0.9500 231.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9900 5.2 1.5533e-02
FDR 4096 256 2 4 6.00 0.9900 25.6 4.9281e-04
FDR 4096 256 2 4 6.00 0.9900 76.4 0.0000e+00
FDR 4096 256 2 4 6.00 0.9900 153.1 0.0000e+00
FDR 4096 256 2 4 6.00 0.9900 231.4 0.0000e+00
FDR 4096 256 2 8 5.00 0.8000 5.2 2.8243e-04
FDR 4096 256 2 8 5.00 0.8000 25.6 1.5521e-04
FDR 4096 256 2 8 5.00 0.8000 76.4 3.3102e-04
FDR 4096 256 2 8 5.00 0.8000 153.1 3.3801e-04
FDR 4096 256 2 8 5.00 0.8000 231.4 5.0938e-04
FDR 4096 256 2 8 5.00 0.9000 5.2 6.9435e-04
FDR 4096 256 2 8 5.00 0.9000 25.6 5.2934e-04
FDR 4096 256 2 8 5.00 0.9000 76.4 8.0587e-04
FDR 4096 256 2 8 5.00 0.9000 153.1 1.5718e-03
FDR 4096 256 2 8 5.00 0.9000 231.4 2.3363e-03
FDR 4096 256 2 8 5.00 0.9500 5.2 1.9097e-03
FDR 4096 256 2 8 5.00 0.9500 25.6 6.8151e-04
FDR 4096 256 2 8 5.00 0.9500 76.4 1.1242e-03
FDR 4096 256 2 8 5.00 0.9500 153.1 2.6327e-03
FDR 4096 256 2 8 5.00 0.9500 231.4 7.2926e-03
FDR 4096 256 2 8 5.00 0.9900 5.2 2.5334e-02
FDR 4096 256 2 8 5.00 0.9900 25.6 8.7719e-03
FDR 4096 256 2 8 5.00 0.9900 76.4 1.1074e-02
FDR 4096 256 2 8 5.00 0.9900 153.1 2.7429e-02
FDR 4096 256 2 8 5.00 0.9900 231.4 4.4588e-02
FDR 4096 256 2 8 5.50 0.8000 5.2 3.0017e-04
FDR 4096 256 2 8 5.50 0.8000 25.6 3.2666e-04
FDR 4096 256 2 8 5.50 0.8000 76.4 2.5896e-04
FDR 4096 256 2 8 5.50 0.8000 153.1 1.1352e-03
FDR 4096 256 2 8 5.50 0.8000 231.4 1.7496e-03
FDR 4096 256 2 8 5.50 0.9000 5.2 6.5260e-04
FDR 4096 256 2 8 5.50 0.9000 25.6 4.7181e-04
FDR 4096 256 2 8 5.50 0.9000 76.4 9.1919e-04
FDR 4096 256 2 8 5.50 0.9000 153.1 1.8768e-03
FDR 4096 256 2 8 5.50 0.9000 231.4 3.3499e-03
FDR 4096 256 2 8 5.50 0.9500 5.2 1.7521e-03
FDR 4096 256 2 8 5.50 0.9500 25.6 8.5857e-04
FDR 4096 256 2 8 5.50 0.9500 76.4 9.9239e-04
FDR 4096 256 2 8 5.50 0.9500 153.1 3.9783e-03
FDR 4096 256 2 8 5.50 0.9500 231.4 1.0364e-02
FDR 4096 256 2 8 5.50 0.9900 5.2 2.3048e-02
FDR 4096 256 2 8 5.50 0.9900 25.6 7.0320e-03
FDR 4096 256 2 8 5.50 0.9900 76.4 1.1074e-02
FDR 4096 256 2 8 5.50 0.9900 153.1 3.1546e-02
FDR 4096 256 2 8 5.50 0.9900 231.4 5.0887e-02
FDR 4096 256 2 8 6.00 0.8000 5.2 4.7630e-04
FDR 4096 256 2 8 6.00 0.8000 25.6 4.2535e-04
FDR 4096 256 2 8 6.00 0.8000 76.4 6.2145e-04
FDR 4096 256 2 8 6.00 0.8000 153.1 1.3371e-03
FDR 4096 256 2 8 6.00 0.8000 231.4 2.8513e-03
